trolley ;gerobak
sing;yang
sutet;menara
mb;karyawan
inn;masuk
nb;catatan baik
straigh;lurus
bule;wisatawan
nevermind;tidak masalah
cheers;suka cita
binatu;pencucian pakain
experience;pengalaman
nice;bagus
stay;tinggal
atmosphere;suasana
gathering;kumpul
dessert;makanan penutup
recomen;rekomendasi
staffnya;karyawan
sterilisasi;kebersihan
mo;ingin
resepsi;karyawan depan
lightsleeper;mudah terbangun
joss;mantap
fo;karyawan depan
fb;karyawan pelayanan
recom;rekomendasi
place;tempat
sopann;sopan
sukaaa;suka
real;benar
good;bagus
humble;ramah
recommended;rekomendasi
begt;banget
basement;lantai bawah
welcome ;sambutan
pedestrian;pejalan kaki
Malioborow;malioboro
lezat;enak
almarinya;lemari
bu;ibu
sd;sampai dengan
gocar;ojek online
pula;lagi
job;kerja
ml ;mili liter
maknyus;mantap
street;jalan
iron;seterika
visit;kunjung
sentral;pusat
profesionalismenya;tanggung jawab
dll;dan lain lain
prime;strategis
location;lokasi
vegan;makan sayuran
court;lapangan
way;jalan
atw;atau
bentor;becak motor
teater;film
m;meter
refil;isi ulang
interconnecting;terhubung
ngechill;santai
mlem;malam
baguss;bagus
jtan;juta
outdoor;luar ruang
stretching;peregangan
inap;nginap
cm;cuma
banyaaak;bayak
rate;harga
weekend;akhir pekan
pricy;mahal
walauoun;walaupun
aksess;akses
ready;siap pakai
kru;karyawan
tll ;terlalu
bad;buruk
nginsp;nginap
perbelanjaan;belanja
rekomen;rekomendasi
cs;karyawan
bbrp;beberapa
fine;baik
tnyta;ternyata
aqirnya;akhirnya
by;dengan
makeup;bersih
hariiii;hari
extend;perpanjang
uda;udah
first ;pertama
impression;pengalaman
pedlu ;perlu
famili ;keluarga
htl;hotel
vale ;karyawan parkir
key;kunci
pake;pakai
nyampek;sampai
antdi;antri
gag;tidak
great;luar biasa
hub;hubungi
pdhal ;padahal
smpe;sampe
sblah;sebelah
lgsung;langsung
tggi;tinggi
msh;masih
bnyak;banyak
btang;bintang
goodie;selempang
bag;tas
co;lapor keluar
max;maksimal
hp;gawai
telp;telpon
truss;terus
cafetari;tempat makan
gede ;besar
heater;pemanas
at;di
got;mendapat
yogya;yogyakarta
tapiii;tapi
bnr;benar
org ;orang 
gt;gitu
ampe;sampe
ngereog ;nangis
greget;kesal
misscom;kurang komunikasi
kyk ;kayak
sop;standar operasional pekerjaan
mal;pusat belanja
yogya;yogyakarta
bfast;sarapan
care;peduli
hot;panas
palagi;apalagi
bengek;sesak napas
gegara;karena
numero ;nomor
uno;satu
budget;biaya
budgetnya;biaya
bell ;panggilan
boy;laki laki
rute;jalan
maintenance;perawatan
drain;kering
dinilang;kasih tau
st;stasiun
resepsionisnya;karyawan depan
amenitiesnya;kelengkapan
bocil;anak
bangett;banget
rapii;rapi
staycation;tinggal liburan
kueren;keren
pokoke;inti
breaky;sarapan
bfast;sarapan
terangggg;terang
opsi;pilih
komplit;lengkap
bgd;banget
nyoba;coba
bgdddd;banget
sumpahhh ;sumpah
sy;saya
dtng;datang
sblm;sebelum
dhub;dihubungi
jln;jalan
sblh;sebelah
lngsng;langsung
dihub;hubungi
g;tidak
sampeeeee;sampai
bynginn;bayangin
sndra ;sendiri
pelayannaan;pelayan
sayaaa;saya
balita;bayi dibawah lima tahun
kapokkkk;kapok
ngineppp;nginap
spt;seperti
kl;kalo
sdg;sedang
nenenin;menyusui
lamaaa;lama
ky;seperti
diselasar;diluar ruangan
deket;dekat
poil;pool
sgt;sangat
binatu;jasa pencuci pakaian
santking;sangat
murmer;murah meriah
are;adalah
not;tidak
all;semua
area;tempat
will;akan
back;kembali
gercep;gerak cepat
singgah;berhenti sebentar
gg;tidak
recomend;rekomendasi
mw;ingin
nyari;mencari
bgg;banget
alfa;alfamart
okelahhh;bagus
super;sangat
yogya;yogyakarta
bkal;akan
it;itu
wort;layak
mantips;mantap
naiiiik;naik
bathtub;bak mandi
shg;sehingga
tempa;tempat
inii;ini
cancel;batal
deket;dekat
me;saya
time;waktu
rada;sedikit
bangetttt;banget
thks;terima kasih
request;meminta
urniture;perabotan
minibar;lemari kecil
bf;sarapan
l;lantai
chk;lapor
klw;kalau
gue;saya
mmg;memang
pingin ;ingin
deres;deras
ekstra;tambah
improvement;kemajuan
info;informasi
krudit;berisik
stok;barang tersedia
dmn;dimana
kids ;anak
proaktif;mandiri
tgl;tanggal
nego;negosiasi
kasi;kasih
bangett ;banget
direnovasi;diperbaiki
renovasi;diperbaiki
fleksible;berubah
enaak;enak
star;bintang
chat;kirim pesan
diinfo;informasi
parking;parkir
i;saya
stayed;tinggal
til;sampai
number ;nomor
dissapointed;kecewa
minimarket;pusat belanja kecil
gtu;begitu
tsb;tersebut
gpp;tidak masalah
ato ;atau
mengejudge;hakimi
maen;main
pukul;jam
nobar;nonton bareng
pandu;pimpin
plafond;langit langit
desk;meja
agak;seperti
peka;gerak cepat
gtu;begitu
g;tidak
alhamdulillah;syukur
cfn;kosong jalan untuk mobil
haptic ;sensasi
creamer;krim
housekeepingnya;karyawan kebersihan
housekeeping;karyawan kebersihan
house;kebersihan
keeping;karyawan
sdm ;sumber daya manusia
dandan;berrias
kid;anak
q;saya
buanyaaak;banyak
shoping;belanja
design;model
attitude;perilaku
belagunya;sombong
belagu;sombong
hrs;harus
bangettt;banget
dicarii;dicari
disinii;disini
recomendes;rekomendasi
lebgkap;lengkap
minor;kecil
tak;tidak
hiruk;kacau
pikuk;balau
mantapp;mantap
love;suka banget
km;kilo meter
bongsor;besar
st;stasiun tugu
akomodasi;fasilitas
persist;tepat
thanx;terima kasih
okey;bagus
klw;kalau
recomendasi ;rekomendasi
comfortable;nyaman
baikkk;baik
order;pesan
driver;sopir
pak;bapak
geret;menarik
crowded;ramai
funworld;pelopor usaha
fastfood;makanan sampah
diy;yogyakarta
kasi;kasih
okee;bagus
rom;kamar
room;kamar
rm;kamar
ituu;itu
ad;ada
pokoknya;inti
pokok;inti
bestt ;sangat baik
vape;rokok
vapers;perokok
vaping;merokok
but;tapi
kl;kalau
refill;isi lagi
healing;wisata
bersihhh;besih
bersihh;bersih
planning;rencana
plan;rencana
planned;rencana
disinii;disini
monent;momen
thanks;terima kasih
indoor;dalam ruangan
outdoor;luar ruangan
lalu ;mondar
lalang;mandiri
lgsung;langsung
jl;jalan
wifi;jaringan internet
ang;yang
staf;karyawan
dahln;dan
mantulllll;mantap betul
mantul;mantap betul
maantull;mantap betul
ajak;undang
ajakan;undang
ngajak;undang
salhah;salah
lounge;ruang tunggu
nice;bagus
try;coba
wort;layak
kawasab;kawasan
nuansa;suasana
adem;dingin
vacation;libur
holiday;libur
ngesot;jalan
boy;karywan kebersihan
rest;istirahat
u;untuk
malioboronya;malioboro
pkknya;inti
rejeki;rezeki
fyi;informasi
locationnya;lokasi
breakfast;sarapan
semrawut;berantakan
mjd;menjadi
ialah;adalah
car;mobil
seperri;seperti
petugasnya;karyawan
petugas;karyawan
lagiiiii;lagi
ob;karyawan kebersihan
dekettt;dekat
high;rame
season;musim
des;desember
parahhhhhhhh;parah 
pkknya;inti
kamr;kamar
barey;berama
kunjungii;kunjungi
alhamdulillahnya;syukur
Alhamdulillah;syukur
bestie;teman
bgt;banget
strategis;mudah ditemukan
temat;tempat
cozy;nyaman
abiss;banget
mantaplaah;mantap
sky ;langit
lounge;ruang tunggu
bnget;banget
ajib;mantap
park;parkir
minim;kecil
ssama;sama
low;rendah
budged;biaya
super;sangat
comfort;nyaman
shg;sehingga
dpt;dapat
utk;untuk
start;mulai
healing;menenangkan diri
bareng;bersama
experience;pengalaman
staf;karyawan
klasik;standar
traveler;wisatawan
all;semua
of;dari
it;itu
good ;baik
service;pelayanan
elit;berkelas
rekomen;saran
seneng;senang
utk;untuk
bareng;bersama
temen;teman
kayanya;sepertinya
favorite;favorit
ambience;suasana
nice;bagus
place;tempat
jd;jadi
gak;tidak
sukak;suka
ma;sama
spa;layanan pijat
terapist;karyawan pijat
mb;karyawan
kuliner;makanan
pengen;ingin
hrus;harus
sllu;selalu
care;perduli
next;lain waktu
balik;kembali
lg;lagi
best;paling baik
matur;mengatakan
swmbah;sembah
nuwun;terima kasih
dlm;dalam
mengarahjan;mengarahkan
booking;pesan
bgus;bagus
basement;ruang bawah tanah
jogya;yogyakarta
first;pertama
time;waktu
bet;banget
liat;lihat
luxury;mewah
have;dapat
pleasant;menyenangkan
deket;dekat
ikonik;simbol
interior;dekorasi
baguss;bagus
kalo;kalau
gampang;mudah
KereeenKerennnKereennn;keren
makasihhhh;terima kasih
bangeeeetttt;banget
trend;condong
estetika;indah
update;perbarui
ps;saat
nnti;nanti
dkt;dekat
dgn;dengan
i;aku
will;akan
back;kembali
shoping;belanja
guys;teman
engga;tidak
nggak;tidak
mari;sini
musti;pasti
bono;tidur
member;anggota
markotop;banget
breakfas;sarapan
beyond;lebih
my;aku
expectations;ekspektasi
ku;aku
bising;berisik
req;minta
smoke;rokok
anter;antar
tip;mantap
reckmended;rekomendasi
deket;dekat
manaaa;mana
slalu;selalu
verry;sangat
mash;masih
mo;mau
msh;masih
dlm;dalam
renovasi;perbaikan
soft;lembut
opening;buka
progress;proses
very;sangat
rich;kaya
tggal;tinggal
aj;aja
coz;karena
bangeeet;banget
